Altium Designer Pick and Place Locations
D:\Thirupathi Docs\PCB Design\Arduino UNO\Project Outputs for Arduino UNO\Pick Place\Pick Place for UNO(Fixed 5V).txt

========================================================================================================================
File Design Information:

Date:       18-05-20
Time:       11:26
Revision:   Not in VersionControl
Variant:    Fixed 5V
Units used: mm

Designator Comment              Layer    Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
J8         M20-7821046          TopLayer HEDDER_FEMALE                    30.2260      50.8000      270      "HARWIN - M20-7821046 - Board-To-Board Connector, M20 Series, Through Hole, Receptacle, 10, 2.54 mm, Tin Plated Contacts"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
J10        M20-7820842          TopLayer HEDDER_FEMALE_8_PINS_-_DUPLICATE 54.6100      50.8000      270      "2.54mm (0.1") Pitch SIL Vertical PC Tail Socket Assembly, selective gold + tin, 8 contacts"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
J1         M20-7820842          TopLayer HEDDER_FEMALE_8_PINS_-_DUPLICATE 36.8300      2.5400       90       "2.54mm (0.1") Pitch SIL Vertical PC Tail Socket Assembly, selective gold + tin, 8 contacts"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Z2         varister             TopLayer R0603                            7.0500       17.2000      90       "VARISTOR 0603"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Z1         varister             TopLayer R0603                            7.0500       20.2000      270      "VARISTOR 0603"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Y2         ABM7-16.000MHZ-D2Y-T TopLayer CRYSTAL                          41.8754      28.7868      180      "CRYSTAL 16.0000MHZ 18PF SMD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Y1         ABM7-16.000MHZ-D2Y-T TopLayer CRYSTAL                          25.2500      29.5000      90       "CRYSTAL 16.0000MHZ 18PF SMD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
U5         AND                  TopLayer AND                              21.9000      16.0000      90       "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U7         AND                  TopLayer AND                              58.1000      23.7000      360      "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U6         ATMEGA328P-PU        TopLayer U?                               45.5550      16.3830      270      "ATMEGA328P-PU; 8 bit Microcontroller AVR 20MHz 1; 32kb Flash; 2kb RAM; I2C SPI 2"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
U4         AND                  TopLayer AND                              22.6000      40.6000      360      "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U3         TL1963A-33DCQR       TopLayer SOP10                            16.6000      14.6000      90       "IC REG LINEAR 3.3V 1.5A SOT223-6"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
U2         ATMEGA16U2-AU        TopLayer TQFP_32                          15.4000      30.0000      180      "MICROCHIP - ATMEGA16U2-AU - MCU, 8BIT, MEGAAVR, 16MHZ, TQFP-32"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
U1         AND                  TopLayer AND                              6.2000       26.3000      90       "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SW1        4_pin_switch         TopLayer 4PIN_SWITCH                      21.5000      4.8000       0        "SWITCH TACTILE SPST-NO 0.05A 24V"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SW2        4_pin_switch         TopLayer 4PIN_SWITCH                      64.1000      28.3000      270      "SWITCH TACTILE SPST-NO 0.05A 24V"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SOCKETU1   "28DIP SCOKET"       TopLayer SOCKET                           -444.3730    -444.3730    90       "CONN IC DIP SOCKET 28POS TIN"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
